_id,Mechanism of Action,References,Creation Date,Update Date
469,"Fluconazole interacts with 14-&alpha; demethylase, a cytochrome P-450 enzyme necessary to convert lanosterol to ergosterol. As ergosterol is an essential component of the fungal cell membrane, inhibition of its synthesis results in increased cellular permeability causing leakage of cellular contents. Fluconazole may also inhibit endogenous respiration, interact with membrane phospholipids, inhibit the transformation of yeasts to mycelial forms, inhibit purine uptake, and impair triglyceride and/or phospholipid biosynthesis.","A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A710 - Fukuoka T, Johnston DA, Winslow CA, de Groot MJ, Burt C, Hitchcock CA, Filler SG: Genetic basis for differential activities of fluconazole and voriconazole against Candida krusei. Antimicrob Agents Chemother. 2003 Apr;47(4):1213-9. (12654649)
A711 - Bellamine A, Lepesheva GI, Waterman MR: Fluconazole binding and sterol demethylation in three CYP51 isoforms indicate differences in active site topology. J Lipid Res. 2004 Nov;45(11):2000-7. Epub 2004 Aug 16. (15314102)
A712 - Guinea J, Sanchez-Somolinos M, Cuevas O, Pelaez T, Bouza E: Fluconazole resistance mechanisms in Candida krusei: the contribution of efflux-pumps. Med Mycol. 2006 Sep;44(6):575-8. (16966178)
A713 - Chau AS, Chen G, McNicholas PM, Mann PA: Molecular basis for enhanced activity of posaconazole against Absidia corymbifera and Rhizopus oryzae. Antimicrob Agents Chemother. 2006 Nov;50(11):3917-9. Epub 2006 Sep 11. (16966400)
A8186 - Korosec T, Acimovic J, Seliskar M, Kocjan D, Tacer KF, Rozman D, Urleb U: Novel cholesterol biosynthesis inhibitors targeting human lanosterol 14alpha-demethylase (CYP51). Bioorg Med Chem. 2008 Jan 1;16(1):209-21. Epub 2007 Oct 4. (17964172)
A8187 - Warrilow AG, Jackson CJ, Parker JE, Marczylo TH, Kelly DE, Lamb DC, Kelly SL: Identification, characterization, and azole-binding properties of Mycobacterium smegmatis CYP164A2, a homolog of ML2088, the sole cytochrome P450 gene of Mycobacterium leprae. Antimicrob Agents Chemother. 2009 Mar;53(3):1157-64. doi: 10.1128/AAC.01237-08. Epub 2008 Dec 15. (19075057)
A8188 - Ekins S, Mankowski DC, Hoover DJ, Lawton MP, Treadway JL, Harwood HJ Jr: Three-dimensional quantitative structure-activity relationship analysis of human CYP51 inhibitors. Drug Metab Dispos. 2007 Mar;35(3):493-500. Epub 2006 Dec 28. (17194716)",2009-07-22 22:35:25 UTC,2014-09-04 16:22:12 UTC
470,"Vitamin B12 exists in four major forms referred to collectively as cobalamins; deoxyadenosylcobalamin, methylcobalamin, hydroxocobalamin, and cyanocobalamin. Two of these, methylcobalamin and 5-deoxyadenosyl cobalamin, are primarily used by the body. Methionine synthase needs methylcobalamin as a cofactor. This enzyme is involved in the conversion of the amino acid homocysteine into methionine. Methionine in turn is required for DNA methylation. 5-Deoxyadenosyl cobalamin is a cofactor needed by the enzyme that converts L-methylmalonyl-CoA to succinyl-CoA. This conversion is an important step in the extraction of energy from proteins and fats. Furthermore, succinyl CoA is necessary for the production of hemoglobin, the substances that carries oxygen in red blood cells.","A716 - Begley JA, Colligan PD, Chu RC: Transcobalamin II mediated delivery of albumin-bound hydroxocobalamin to human liver cells. Proc Soc Exp Biol Med. 1993 Nov;204(2):206-10. (8415778)
A717 - Skouby AP, Hippe E, Olesen H: Antibody to transcobalamin II and B12 binding capacity in patients treated with hydroxocobalamin. Blood. 1971 Dec;38(6):769-74. (5126165)
A718 - Hippe E, Olesen H, Skouby A: [Occurrence of antibodies against transcobalamin II in relation to the number of and the intervals between depot therapy with hydroxocobalamin]. Nord Med. 1970 Dec 3;84(49):1570. (5488577)
A719 - Brown KL, Marques HM, Jacobsen DW: Heteronuclear NMR studies of cobalamins. 31P NMR observations of cobalamins bound to a haptocorrin from chicken serum. J Biol Chem. 1988 Feb 5;263(4):1872-7. (3338997)
A720 - Chu RC, Begley JA, Colligan PD, Hall CA: The methylcobalamin metabolism of cultured human fibroblasts. Metabolism. 1993 Mar;42(3):315-9. (8487649)",2009-07-22 22:35:25 UTC,2014-09-04 16:21:34 UTC
471,"Caffeine stimulates medullary, vagal, vasomotor, and respiratory centers, promoting bradycardia, vasoconstriction, and increased respiratory rate. This action was previously believed to be due primarily to increased intracellular cyclic 3&prime;,5&prime;-adenosine monophosphate (cyclic AMP) following inhibition of phosphodiesterase, the enzyme that degrades cyclic AMP. It is now thought that xanthines such as caffeine act as agonists at adenosine-receptors within the plasma membrane of virtually every cell. As adenosine acts as an autocoid, inhibiting the release of neurotransmitters from presynaptic sites but augmenting the actions of norepinephrine or angiotensin, antagonism of adenosine receptors promotes neurotransmitter release. This explains the stimulatory effects of caffeine. Blockade of the adenosine A1 receptor in the heart leads to the accelerated, pronounced ""pounding"" of the heart upon caffeine intake.","A737 - Gaytan SP, Saadani-Makki F, Bodineau L, Frugiere A, Larnicol N, Pasaro R: Effect of postnatal exposure to caffeine on the pattern of adenosine A1 receptor distribution in respiration-related nuclei of the rat brainstem. Auton Neurosci. 2006 Jun 30;126-127:339-46. Epub 2006 May 15. (16702031)
A738 - Wang SJ: Caffeine facilitation of glutamate release from rat cerebral cortex nerve terminals (synaptosomes) through activation protein kinase C pathway: an interaction with presynaptic adenosine A1 receptors. Synapse. 2007 Jun;61(6):401-11. (17372967)
A739 - Rieg T, Schnermann J, Vallon V: Adenosine A1 receptors determine effects of caffeine on total fluid intake but not caffeine appetite. Eur J Pharmacol. 2007 Jan 26;555(2-3):174-7. Epub 2006 Oct 25. (17126319)
A740 - Mustafa S, Venkatesh P, Pasha K, Mullangi R, Srinivas NR: Altered intravenous pharmacokinetics of topotecan in rats with acute renal failure (ARF) induced by uranyl nitrate: do adenosine A1 antagonists (selective/non-selective) normalize the altered topotecan kinetics in ARF? Xenobiotica. 2006 Dec;36(12):1239-58. (17162470)
A741 - Listos J, Malec D, Fidecka S: Adenosine receptor antagonists intensify the benzodiazepine withdrawal signs in mice. Pharmacol Rep. 2006 Sep-Oct;58(5):643-51. (17085856)
A8189 - Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors. J Med Chem. 2005 Mar 24;48(6):2026-35. (15771445)
A9186 - Ishiyama H, Ohshita K, Abe T, Nakata H, Kobayashi J: Synthesis of eudistomin D analogues and its effects on adenosine receptors. Bioorg Med Chem. 2008 Apr 1;16(7):3825-30. doi: 10.1016/j.bmc.2008.01.041. Epub 2008 Jan 30. (18262425)
A9187 - Ishiyama H, Nakajima H, Nakata H, Kobayashi J: Synthesis of hybrid analogues of caffeine and eudistomin D and its affinity for adenosine receptors. Bioorg Med Chem. 2009 Jul 1;17(13):4280-4. doi: 10.1016/j.bmc.2009.05.036. Epub 2009 May 18. (19481943)
A9188 - Drabczynska A, Yuzlenko O, Kose M, Paskaleva M, Schiedel AC, Karolak-Wojciechowska J, Handzlik J, Karcz T, Kuder K, Muller CE, Kiec-Kononowicz K: Synthesis and biological activity of tricyclic cycloalkylimidazo-, pyrimido- and diazepinopurinediones. Eur J Med Chem. 2011 Sep;46(9):3590-607. doi: 10.1016/j.ejmech.2011.05.023. Epub 2011 May 23. (21664729)
A9194 - Ingkaninan K, IJzerman AP, Verpoorte R: Luteolin, a compound with adenosine A(1) receptor-binding activity, and chromone and dihydronaphthalenone constituents from Senna siamea. J Nat Prod. 2000 Mar;63(3):315-7. (10757709)
A9195 - Suzuki F, Shimada J, Mizumoto H, Karasawa A, Kubo K, Nonaka H, Ishii A, Kawakita T: Adenosine A1 antagonists. 2. Structure-activity relationships on diuretic activities and protective effects against acute renal failure. J Med Chem. 1992 Aug 7;35(16):3066-75. (1501234)
A9196 - Shimada J, Suzuki F, Nonaka H, Ishii A: 8-Polycycloalkyl-1,3-dipropylxanthines as potent and selective antagonists for A1-adenosine receptors. J Med Chem. 1992 Mar 6;35(5):924-30. (1548682)
A9197 - Shimada J, Suzuki F, Nonaka H, Ishii A, Ichikawa S: (E)-1,3-dialkyl-7-methyl-8-(3,4,5-trimethoxystyryl)xanthines: potent and selective adenosine A2 antagonists. J Med Chem. 1992 Jun 12;35(12):2342-5. (1613758)
A9198 - Shimada J, Suzuki F, Nonaka H, Karasawa A, Mizumoto H, Ohno T, Kubo K, Ishii A: 8-(Dicyclopropylmethyl)-1,3-dipropylxanthine: a potent and selective adenosine A1 antagonist with renal protective and diuretic activities. J Med Chem. 1991 Jan;34(1):466-9. (1992150)",2009-07-22 22:35:26 UTC,2014-09-04 16:22:12 UTC
472,Reserpine's mechanism of action is through inhibition of the ATP/Mg<sup>2+</sup> pump responsible for the sequestering of neurotransmitters into storage vesicles located in the presynaptic neuron. The neurotransmitters that are not sequestered in the storage vesicle are readily metabolized by monoamine oxidase (MAO) causing a reduction in catecholamines.,"A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)
A747 - Sievert MK, Hajipour AR, Ruoho AE: Specific derivatization of the vesicle monoamine transporter with novel carrier-free radioiodinated reserpine and tetrabenazine photoaffinity labels. Anal Biochem. 2007 Aug 1;367(1):68-78. Epub 2007 May 3. (17559790)
A748 - Naudon L, Leroux-Nicollet I, Raisman-Vozari R, Botton D, Costentin J: Time-course of modifications elicited by reserpine on the density and mRNA synthesis of the vesicular monoamine transporter, and on the density of the membrane dopamine uptake complex. Synapse. 1995 Sep;21(1):29-36. (8525459)
A749 - Erickson JD, Eiden LE, Hoffman BJ: Expression cloning of a reserpine-sensitive vesicular monoamine transporter. Proc Natl Acad Sci U S A. 1992 Nov 15;89(22):10993-7. (1438304)
A9727 - Gonzalez AM, Walther D, Pazos A, Uhl GR: Synaptic vesicular monoamine transporter expression: distribution and pharmacologic profile. Brain Res Mol Brain Res. 1994 Mar;22(1-4):219-26. (7912402)",2009-07-22 22:35:26 UTC,2014-09-04 16:22:13 UTC
473,"The antidepressant, antiobsessive-compulsive, and antibulimic actions of Citalopram are presumed to be linked to its inhibition of CNS neuronal uptake of serotonin. Citalopram blocks the reuptake of serotonin at the serotonin reuptake pump of the neuronal membrane, enhancing the actions of serotonin on 5HT<sub>1A</sub> autoreceptors. SSRIs bind with significantly less affinity to histamine, acetylcholine, and norepinephrine receptors than tricyclic antidepressant drugs.","A754 - Eriksson E, Engberg G, Bing O, Nissbrandt H: Effects of mCPP on the extracellular concentrations of serotonin and dopamine in rat brain. Neuropsychopharmacology. 1999 Mar;20(3):287-96. (10063489)
A755 - Maines LW, Keck BJ, Smith JE, Lakoski JM: Corticosterone regulation of serotonin transporter and 5-HT1A receptor expression in the aging brain. Synapse. 1999 Apr;32(1):58-66. (10188639)
A756 - Vicentic A, Battaglia G, Carroll FI, Kuhar MJ: Serotonin transporter production and degradation rates: studies with RTI-76. Brain Res. 1999 Sep 11;841(1-2):1-10. (10546982)
A757 - Dugar A, Keck BJ, Maines LW, Miller S, Njai R, Lakoski JM: Compensatory responses in the aging hippocampal serotonergic system following neurodegenerative injury with 5,7-dihydroxytryptamine. Synapse. 2001 Feb;39(2):109-21. (11180498)
A758 - Dutta AK, Fei XS, Beardsley PM, Newman JL, Reith ME: Structure-activity relationship studies of 4-[2-(diphenylmethoxy)ethyl]-1-benzylpiperidine derivatives and their N-analogues: evaluation of O-and N-analogues and their binding to monoamine transporters. J Med Chem. 2001 Mar 15;44(6):937-48. (11300876)
A863 - Vaishnavi SN, Nemeroff CB, Plott SJ, Rao SG, Kranzler J, Owens MJ: Milnacipran: a comparative analysis of human monoamine uptake and transporter binding affinity. Biol Psychiatry. 2004 Feb 1;55(3):320-2. (14744476)
A2267 - Owens JM, Knight DL, Nemeroff CB: [Second generation SSRIS: human monoamine transporter binding profile of escitalopram and R-fluoxetine]. Encephale. 2002 Jul-Aug;28(4):350-5. (12232544)
A2377 - Henry LK, Field JR, Adkins EM, Parnas ML, Vaughan RA, Zou MF, Newman AH, Blakely RD: Tyr-95 and Ile-172 in transmembrane segments 1 and 3 of human serotonin transporters interact to establish high affinity recognition of antidepressants. J Biol Chem. 2006 Jan 27;281(4):2012-23. Epub 2005 Nov 3. (16272152)
A3953 - Tatsumi M, Groshan K, Blakely RD, Richelson E: Pharmacological profile of antidepressants and related compounds at human monoamine transporters. Eur J Pharmacol. 1997 Dec 11;340(2-3):249-58. (9537821)
A8923 - McNamara YM, Cloonan SM, Knox AJ, Keating JJ, Butler SG, Peters GH, Meegan MJ, Williams DC: Synthesis and serotonin transporter activity of 1,3-bis(aryl)-2-nitro-1-propenes as a new class of anticancer agents. Bioorg Med Chem. 2011 Feb 1;19(3):1328-48. doi: 10.1016/j.bmc.2010.11.054. Epub 2010 Dec 7. (21227702)
A9127 - Owens MJ, Morgan WN, Plott SJ, Nemeroff CB: Neurotransmitter receptor and transporter binding profile of antidepressants and their metabolites. J Pharmacol Exp Ther. 1997 Dec;283(3):1305-22. (9400006)
A9204 - Plisson C, McConathy J, Martarello L, Malveaux EJ, Camp VM, Williams L, Votaw JR, Goodman MM: Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter. J Med Chem. 2004 Feb 26;47(5):1122-35. (14971892)
A9205 - Zhang P, Jorgensen TN, Loland CJ, Newman AH: A rhodamine-labeled citalopram analogue as a high-affinity fluorescent probe for the serotonin transporter. Bioorg Med Chem Lett. 2013 Jan 1;23(1):323-6. doi: 10.1016/j.bmcl.2012.10.089. Epub 2012 Nov 1. (23168018)
A9206 - Ben-Daniel R, Deuther-Conrad W, Scheunemann M, Steinbach J, Brust P, Mishani E: Carbon-11 labeled indolylpropylamine analog as a new potential PET agent for imaging of the serotonin transporter. Bioorg Med Chem. 2008 Jun 15;16(12):6364-70. doi: 10.1016/j.bmc.2008.05.006. Epub 2008 May 7. (18487050)
A9207 - Funke U, Fischer S, Hiller A, Scheunemann M, Deuther-Conrad W, Brust P, Steinbach J: 3-(4-(6-Fluoroalkoxy-3,4-dihydroisoquinoline-2(1H)-yl)cyclohexyl)-1H-indole-5-car bonitriles for SERT imaging: chemical synthesis, evaluation in vitro and radiofluorination. Bioorg Med Chem Lett. 2008 Aug 15;18(16):4727-30. doi: 10.1016/j.bmcl.2008.06.077. Epub 2008 Jun 28. (18644726)",2009-07-22 22:35:27 UTC,2014-09-04 16:22:02 UTC
474,"Enflurane induces a reduction in junctional conductance by decreasing gap junction channel opening times and increasing gap junction channel closing times. Enflurane also activates calcium dependent ATPase in the sarcoplasmic reticulum by increasing the fluidity of the lipid membrane. It also appears to bind the D subunit of ATP synthase and NADH dehydogenase. Enflurane also binds to the GABA receptor, the large conductance Ca<sup>2+</sup> activated potassium channel, the glutamate receptor and the glycine receptor.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:35:28 UTC,2014-09-04 16:10:11 UTC
475,"Benzodiazepines bind nonspecifically to benzodiazepine receptors, which affects muscle relaxation, anticonvulsant activity, motor coordination, and memory. As benzodiazepine receptors are thought to be coupled to gamma-aminobutyric acid-A (GABA<sub>A</sub>) receptors, this enhances the effects of GABA by increasing GABA affinity for the GABA receptor. Binding of the inhibitory neurotransmitter GABA to the site opens the chloride channel, resulting in a hyperpolarized cell membrane that prevents further excitation of the cell.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)
A679 - Miller EI, Wylie FM, Oliver JS: Detection of benzodiazepines in hair using ELISA and LC-ESI-MS-MS. J Anal Toxicol. 2006 Sep;30(7):441-8. (16959136)
A770 - Dobbin M, Martyres RF, Clode D, Champion De Crespigny FE: Association of benzodiazepine injection with the prescription of temazepam capsules. Drug Alcohol Rev. 2003 Jun;22(2):153-7. (12850901)
A771 - Mant A, Whicker SD, McManus P, Birkett DJ, Edmonds D, Dumbrell D: Benzodiazepine utilisation in Australia: report from a new pharmacoepidemiological database. Aust J Public Health. 1993 Dec;17(4):345-9. (7911332)",2009-07-22 22:35:29 UTC,2014-09-04 16:22:07 UTC
476,"Reboxetine is a selective inhibitor of noradrenaline reuptake. It inhibits
noradrenaline reuptake <i>in vitro</i> to a similar extent to the tricyclic
antidepressant desmethylimipramine. Reboxetine does not affect dopamine or
serotonin reuptake and it has low <i>in vivo</i> and <i>in vitro</i> affinity
for adrenergic, cholinergic, histaminergic, dopaminergic and serotonergic
receptors.","A775 - Rauhut AS, Mullins SN, Dwoskin LP, Bardo MT: Reboxetine: attenuation of intravenous nicotine self-administration in rats. J Pharmacol Exp Ther. 2002 Nov;303(2):664-72. (12388649)
A776 - Wilson AA, Johnson DP, Mozley D, Hussey D, Ginovart N, Nobrega J, Garcia A, Meyer J, Houle S: Synthesis and in vivo evaluation of novel radiotracers for the in vivo imaging of the norepinephrine transporter. Nucl Med Biol. 2003 Feb;30(2):85-92. (12623106)
A777 - Lin KS, Ding YS, Kim SW, Kil KE: Synthesis, enantiomeric resolution, F-18 labeling and biodistribution of reboxetine analogs: promising radioligands for imaging the norepinephrine transporter with positron emission tomography. Nucl Med Biol. 2005 May;32(4):415-22. (15878511)
A778 - Spivak B, Strous RD, Shaked G, Shabash E, Kotler M, Weizman A: Reboxetine versus fluvoxamine in the treatment of motor vehicle accident-related posttraumatic stress disorder: a double-blind, fixed-dosage, controlled trial. J Clin Psychopharmacol. 2006 Apr;26(2):152-6. (16633143)
A779 - Mitchell HA, Ahern TH, Liles LC, Javors MA, Weinshenker D: The effects of norepinephrine transporter inactivation on locomotor activity in mice. Biol Psychiatry. 2006 Nov 15;60(10):1046-52. Epub 2006 Aug 7. (16893531)",2009-07-22 22:35:29 UTC,2014-09-04 16:22:08 UTC
477,"Butabarbital binds at a distinct binding site associated with a Cl<sup>-</sup> ionopore at the GABA<sub>A</sub> receptor, increasing the duration of time for which the Cl<sup>-</sup> ionopore is open. The post-synaptic inhibitory effect of GABA in the thalamus is, therefore, prolonged. All of these effects are associated with marked decreases in GABA-sensitive neuronal calcium conductance (gCa). The net result of barbiturate action is acute potentiation of inhibitory GABAergic tone. Barbiturates also act through potent (if less well characterized) and direct inhibition of excitatory AMPA-type glutamate receptors, resulting in a profound suppression of glutamatergic neurotransmission.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:35:29 UTC,2014-09-04 16:05:44 UTC
478,"Oxiconazole inhibits ergosterol biosynthesis, which is required for cytoplasmic membrane integrity of fungi.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:35:29 UTC,2014-09-04 16:22:18 UTC
479,"Benztropine is a selective M1 muscarinic acetylcholine receptor antagonist. It is able to discriminate between the M1 (cortical or neuronal) and the peripheral muscarinic subtypes (cardiac and glandular). Benztropine partially blocks cholinergic activity in the CNS, which is responsible for the symptoms of Parkinson's disease. It is also thought to increase the availability of dopamine, a brain chemical that is critical in the initiation and smooth control of voluntary muscle movement.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:35:30 UTC,2014-09-04 16:18:43 UTC
480,"Methysergide is a serotonin antagonist that stabilizes neurotransmission in the trigeminovascular system to block the development of neurogenic inflammation. It also acts on central nervous system, which directly stimulates the smooth muscle leading to vasoconstriction. (A308)","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)
A812 - Castilho VM, Avanzi V, Brandao ML: Antinociception elicited by aversive stimulation of the inferior colliculus. Pharmacol Biochem Behav. 1999 Mar;62(3):425-31. (10080233)
A813 - Geerts IS, Matthys KE, Herman AG, Bult H: Involvement of 5-HT1B receptors in collar-induced hypersensitivity to 5-hydroxytryptamine of the rabbit carotid artery. Br J Pharmacol. 1999 Jul;127(6):1327-36. (10455282)
A814 - Shaw AM, Brown C, Irvine J, Bunton DC, MacDonald A: Role of the 5-HT(2A)receptor and alpha(1)-adrenoceptor in the contractile response of rat pulmonary artery to 5-HT in the presence and absence of nitric oxide. Pulm Pharmacol Ther. 2000;13(6):277-85. (11061982)
A815 - Prins NH, Akkermans LM, Lefebvre RA, Schuurkes JA: Characterization of the receptors involved in the 5-HT-induced excitation of canine antral longitudinal muscle. Br J Pharmacol. 2001 Nov;134(6):1351-9. (11704657)
A816 - Connor JD, Rasheed H, Gilani AH, Cheema M, Rizvi Z, Saeed SA: Second messengers in platelet aggregation evoked by serotonin and A23187, a calcium ionophore. Life Sci. 2001 Oct 26;69(23):2759-64. (11720080)
A9208 - Boess FG, Martin IL: Molecular biology of 5-HT receptors. Neuropharmacology. 1994 Mar-Apr;33(3-4):275-317. (7984267)
A9210 - Furlotti G, Alisi MA, Apicella C, Capezzone de Joannon A, Cazzolla N, Costi R, Cuzzucoli Crucitti G, Garrone B, Iacovo A, Magaro G, Mangano G, Miele G, Ombrato R, Pescatori L, Polenzani L, Rosi F, Vitiello M, Di Santo R: Discovery and pharmacological profile of new 1H-indazole-3-carboxamide and 2H-pyrrolo[3,4-c]quinoline derivatives as selective serotonin 4 receptor ligands. J Med Chem. 2012 Nov 26;55(22):9446-66. doi: 10.1021/jm300573d. Epub 2012 Oct 24. (23043420)
A9211 - Bonhaus DW, Weinhardt KK, Taylor M, DeSouza A, McNeeley PM, Szczepanski K, Fontana DJ, Trinh J, Rocha CL, Dawson MW, Flippin LA, Eglen RM: RS-102221: a novel high affinity and selective, 5-HT2C receptor antagonist. Neuropharmacology. 1997 Apr-May;36(4-5):621-9. (9225287)
A9212 - Bonhaus DW, Bach C, DeSouza A, Salazar FH, Matsuoka BD, Zuppan P, Chan HW, Eglen RM: The pharmacology and distribution of human 5-hydroxytryptamine2B (5-HT2B) receptor gene products: comparison with 5-HT2A and 5-HT2C receptors. Br J Pharmacol. 1995 Jun;115(4):622-8. (7582481)
A9213 - Knight AR, Misra A, Quirk K, Benwell K, Revell D, Kennett G, Bickerdike M: Pharmacological characterisation of the agonist radioligand binding site of 5-HT(2A), 5-HT(2B) and 5-HT(2C) receptors. Naunyn Schmiedebergs Arch Pharmacol. 2004 Aug;370(2):114-23. Epub 2004 Jul 30. (15322733)
A9214 - Hedner E, Sjogren M, Frandberg PA, Johansson T, Goransson U, Dahlstrom M, Jonsson P, Nyberg F, Bohlin L: Brominated cyclodipeptides from the marine sponge Geodia barretti as selective 5-HT ligands. J Nat Prod. 2006 Oct;69(10):1421-4. (17067154)",2009-07-22 22:35:32 UTC,2014-09-04 16:20:50 UTC
481,Cabergoline is a long-acting dopamine receptor agonist with a high affinity for D2 receptors. This agonism has an anti-Parkinsonian effect. (A2946),"A2946 - Gerlach M, Double K, Arzberger T, Leblhuber F, Tatschner T, Riederer P: Dopamine receptor agonists in current clinical use: comparative dopamine receptor binding profiles defined in the human striatum. J Neural Transm. 2003 Oct;110(10):1119-27. (14523624)",2009-07-22 22:35:32 UTC,2014-09-04 16:22:18 UTC
482,"Phenytoin acts on sodium channels on the neuronal cell membrane, limiting the spread of seizure activity and reducing seizure propagation. By promoting sodium efflux from neurons, phenytoin tends to stabilize the threshold against hyperexcitability caused by excessive stimulation or environmental changes capable of reducing membrane sodium gradient. This includes the reduction of post-tetanic potentiation at synapses. Loss of post-tetanic potentiation prevents cortical seizure foci from detonating adjacent cortical areas.","A819 - Lenkowski PW, Ko SH, Anderson JD, Brown ML, Patel MK: Block of human NaV1.5 sodium channels by novel alpha-hydroxyphenylamide analogues of phenytoin. Eur J Pharm Sci. 2004 Apr;21(5):635-44. (15066664)
A820 - Swadron SP, Rudis MI, Azimian K, Beringer P, Fort D, Orlinsky M: A comparison of phenytoin-loading techniques in the emergency department. Acad Emerg Med. 2004 Mar;11(3):244-52. (15001403)
A8924 - Davis GC, Kong Y, Paige M, Li Z, Merrick EC, Hansen T, Suy S, Wang K, Dakshanamurthy S, Cordova A, McManus OB, Williams BS, Chruszcz M, Minor W, Patel MK, Brown ML: Asymmetric synthesis and evaluation of a hydroxyphenylamide voltage-gated sodium channel blocker in human prostate cancer xenografts. Bioorg Med Chem. 2012 Mar 15;20(6):2180-8. doi: 10.1016/j.bmc.2011.08.061. Epub 2011 Sep 1. (22364743)",2009-07-22 22:35:32 UTC,2014-09-04 16:15:22 UTC
483,"Clotrimazole interacts with yeast 14-&alpha; demethylase, a cytochrome P-450 enzyme that converts lanosterol to ergosterol, an essential component of the membrane. In this way, clotrimazole inhibits ergosterol synthesis, resulting in increased cellular permeability. Clotrimazole may also inhibit endogenous respiration, interact with membrane phospholipids, inhibit the transformation of yeasts to mycelial forms and the uptake of purine, impair triglyceride and/or phospholipid biosynthesis, and inhibit the movement of calcium and potassium ions across the cell membrane by blocking the ion transport pathway known as the Gardos channel.","A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A8926 - Pegoraro S, Lang M, Dreker T, Kraus J, Hamm S, Meere C, Feurle J, Tasler S, Prutting S, Kuras Z, Visan V, Grissmer S: Inhibitors of potassium channels KV1.3 and IK-1 as immunosuppressants. Bioorg Med Chem Lett. 2009 Apr 15;19(8):2299-304. doi: 10.1016/j.bmcl.2009.02.077. Epub 2009 Feb 25. (19282171)
A8927 - McNaughton-Smith GA, Burns JF, Stocker JW, Rigdon GC, Creech C, Arrington S, Shelton T, de Franceschi L: Novel inhibitors of the Gardos channel for the treatment of sickle cell disease. J Med Chem. 2008 Feb 28;51(4):976-82. doi: 10.1021/jm070663s. Epub 2008 Jan 31. (18232633)",2009-07-22 22:35:33 UTC,2014-09-04 16:21:02 UTC
